timestamp,consumption,holiday,temperature,consumption_outlier
2015-12-08 19:30:00,1947.6533287725167,Immaculate Conception,9.9,False
2015-12-08 19:45:00,2085.3045187228126,Immaculate Conception,9.75,False
2015-12-08 20:00:00,1955.979005584028,Immaculate Conception,9.6,False
2015-12-08 20:15:00,1982.066126260092,Immaculate Conception,9.475,False
2015-12-08 20:30:00,1889.3735910919493,Immaculate Conception,9.35,False
2015-12-08 20:45:00,2080.309112635907,Immaculate Conception,9.225,False
2015-12-08 21:00:00,1929.3368397871964,Immaculate Conception,9.1,False
2015-12-08 21:15:00,2371.152755917981,Immaculate Conception,9.05,False
2015-12-08 21:30:00,2071.428390703629,Immaculate Conception,9.0,False
2015-12-08 21:45:00,2302.882206063601,Immaculate Conception,8.950000000000001,False
2015-12-08 22:00:00,2215.7401221031328,Immaculate Conception,8.9,False
2015-12-08 22:15:00,2030.355051766848,Immaculate Conception,9.0,False
2015-12-08 22:30:00,1702.878430514131,Immaculate Conception,9.1,False
2015-12-08 22:45:00,1808.3370034599209,Immaculate Conception,9.2,False
2015-12-08 23:00:00,1846.0800716720987,Immaculate Conception,9.3,False
2015-12-08 23:15:00,1778.9196120592533,Immaculate Conception,9.3,False
2015-12-08 23:30:00,2019.254149351501,Immaculate Conception,9.3,False
2015-12-08 23:45:00,1680.676625683438,Immaculate Conception,9.3,False
2015-12-09 00:00:00,1387.057756797527,_novalue_,9.3,False
2015-12-09 00:15:00,1501.9520967963615,_novalue_,9.275,False
2015-12-09 00:30:00,2009.8183822984568,_novalue_,9.25,False
2015-12-09 00:45:00,1801.121416889946,_novalue_,9.225,False
2015-12-09 01:00:00,1907.6900800772712,_novalue_,9.2,False
2015-12-09 01:15:00,2150.799842973356,_novalue_,9.175,False
2015-12-09 01:30:00,1849.9653875174693,_novalue_,9.15,False
2015-12-09 01:45:00,1989.2817128300671,_novalue_,9.125,False
2015-12-09 02:00:00,1908.2451251980383,_novalue_,9.1,False
2015-12-09 02:15:00,1921.0111629756864,_novalue_,9.275,False
2015-12-09 02:30:00,1870.502056985861,_novalue_,9.45,False
2015-12-09 02:45:00,1878.272688676604,_novalue_,9.625,False
2015-12-09 03:00:00,1810.0021388222228,_novalue_,9.8,False
2015-12-09 03:15:00,1891.5937715750183,_novalue_,9.825,False
2015-12-09 03:30:00,1824.9883570829409,_novalue_,9.85,False
2015-12-09 03:45:00,2143.584256403381,_novalue_,9.875,False
2015-12-09 04:00:00,1953.7588251009583,_novalue_,9.9,False
2015-12-09 04:15:00,1979.290900656255,_novalue_,9.975,False
2015-12-09 04:30:00,2007.0431566946208,_novalue_,10.05,False
2015-12-09 04:45:00,1832.203943652916,_novalue_,10.125,False
2015-12-09 05:00:00,2180.772279494792,_novalue_,10.2,False
2015-12-09 05:15:00,2150.2447978525893,_novalue_,10.225,False
2015-12-09 05:30:00,2135.2585795918712,_novalue_,10.25,False
2015-12-09 05:45:00,1992.0569384339035,_novalue_,10.275,False
2015-12-09 06:00:00,1911.0203508018749,_novalue_,10.3,False
2015-12-09 06:15:00,1845.525026551332,_novalue_,10.225,False
2015-12-09 06:30:00,1939.327651961008,_novalue_,10.15,False
2015-12-09 06:45:00,2101.955872345832,_novalue_,10.075,False
2015-12-09 07:00:00,2063.657759012888,_novalue_,10.0,False
2015-12-09 07:15:00,2532.1158409405034,_novalue_,10.025,False
2015-12-09 07:30:00,2313.9831084789475,_novalue_,10.05,False
2015-12-09 07:45:00,2372.262846159516,_novalue_,10.075,False
2015-12-09 08:00:00,3099.371954364702,_novalue_,10.1,False
2015-12-09 08:15:00,3073.2848336886377,_novalue_,10.1,False
2015-12-09 08:30:00,3248.67909185111,_novalue_,10.1,False
2015-12-09 08:45:00,3452.9356962934835,_novalue_,10.1,False
2015-12-09 09:00:00,3592.807066726848,_novalue_,10.1,False
2015-12-09 09:15:00,3469.032004795736,_novalue_,10.225,False
2015-12-09 09:30:00,3532.3071485632104,_novalue_,10.35,False
2015-12-09 09:45:00,3306.403784410912,_novalue_,10.475,False
2015-12-09 10:00:00,3523.9814717517,_novalue_,10.6,False
2015-12-09 10:15:00,3470.6971401580377,_novalue_,11.1,False
2015-12-09 10:30:00,3445.7201097235084,_novalue_,11.6,False
2015-12-09 10:45:00,3396.321093975217,_novalue_,12.1,False
2015-12-09 11:00:00,3527.311742476304,_novalue_,12.6,False
2015-12-09 11:15:00,3803.169167497661,_novalue_,12.825,False
2015-12-09 11:30:00,3464.03659870883,_novalue_,13.05,False
2015-12-09 11:45:00,3296.4129722371003,_novalue_,13.275,False
2015-12-09 12:00:00,3308.623964893981,_novalue_,13.5,False
2015-12-09 12:15:00,3541.7429156162543,_novalue_,13.825,False
2015-12-09 12:30:00,3607.238239866799,_novalue_,14.15,False
2015-12-09 12:45:00,3778.192137063132,_novalue_,14.475,False
2015-12-09 13:00:00,3765.98114440625,_novalue_,14.8,False
2015-12-09 13:15:00,3698.265639672638,_novalue_,14.85,False
2015-12-09 13:30:00,3760.430693198577,_novalue_,14.9,False
2015-12-09 13:45:00,3744.889429817093,_novalue_,14.95,False
2015-12-09 14:00:00,3976.343245177064,_novalue_,15.0,False
2015-12-09 14:15:00,3683.27942141192,_novalue_,15.15,False
2015-12-09 14:30:00,3376.8945147483614,_novalue_,15.3,False
2015-12-09 14:45:00,3274.7662125271745,_novalue_,15.45,False
2015-12-09 15:00:00,3347.4771233476927,_novalue_,15.6,False
2015-12-09 15:15:00,3184.848902962869,_novalue_,15.425,False
